,state
0,1.0
1,2.0
2,3.0
3,1.0
4,1.0
5,1.0
6,3.0
7,0.0
8,2.0
9,0.0
10,3.0
11,3.0
12,1.0
13,0.0
14,0.0
15,1.0
16,2.0
17,0.0
18,0.0
19,1.0
20,2.0
21,0.0
22,0.0
23,1.0
24,0.0
25,1.0
26,1.0
27,3.0
28,2.0
29,3.0
30,0.0
31,2.0
32,1.0
33,2.0
34,3.0
35,1.0
36,0.0
37,0.0
38,1.0
39,0.0
40,1.0
41,2.0
42,2.0
43,3.0
44,2.0
45,3.0
46,0.0
47,3.0
48,3.0
49,3.0
50,0.0
51,2.0
52,0.0
53,3.0
54,1.0
55,3.0
56,2.0
57,1.0
58,3.0
59,2.0
60,0.0
61,2.0
62,3.0
63,0.0
64,3.0
65,3.0
66,1.0
67,0.0
68,2.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,3.0
75,3.0
76,1.0
77,2.0
78,0.0
79,3.0
80,2.0
81,2.0
82,1.0
83,1.0
84,3.0
85,1.0
86,2.0
87,0.0
88,3.0
89,0.0
90,0.0
91,0.0
92,1.0
93,0.0
94,3.0
95,3.0
96,0.0
97,2.0
98,0.0
99,3.0
100,1.0
101,0.0
102,2.0
103,1.0
104,3.0
105,0.0
106,3.0
107,1.0
108,2.0
109,2.0
110,2.0
111,1.0
112,1.0
113,3.0
114,2.0
115,0.0
116,3.0
117,2.0
118,2.0
119,3.0
120,3.0
121,0.0
122,0.0
123,0.0
124,2.0
125,3.0
126,2.0
127,2.0
128,0.0
129,0.0
130,2.0
131,2.0
132,2.0
133,1.0
134,2.0
135,0.0
136,0.0
137,0.0
138,2.0
139,0.0
140,2.0
141,3.0
142,1.0
143,0.0
144,0.0
145,2.0
146,1.0
147,2.0
148,1.0
149,3.0
150,1.0
151,0.0
152,0.0
153,3.0
154,2.0
155,1.0
156,1.0
157,3.0
158,1.0
159,0.0
160,3.0
161,0.0
162,0.0
163,1.0
164,1.0
165,1.0
166,0.0
167,3.0
168,3.0
169,1.0
170,0.0
171,1.0
172,2.0
173,3.0
174,1.0
175,0.0
176,0.0
177,3.0
178,0.0
179,2.0
180,0.0
181,2.0
182,3.0
183,1.0
184,0.0
185,3.0
186,2.0
187,3.0
188,0.0
189,0.0
190,1.0
191,0.0
192,1.0
193,3.0
194,3.0
195,1.0
196,3.0
197,1.0
198,3.0
199,1.0
200,1.0
201,2.0
202,0.0
203,2.0
204,3.0
205,1.0
206,1.0
207,3.0
208,1.0
209,1.0
210,1.0
211,0.0
212,2.0
213,3.0
214,3.0
215,0.0
216,0.0
217,2.0
218,1.0
219,2.0
220,0.0
221,0.0
222,0.0
223,3.0
224,1.0
225,0.0
226,0.0
227,2.0
228,1.0
229,0.0
230,3.0
231,3.0
232,3.0
233,3.0
234,2.0
235,2.0
236,0.0
237,0.0
238,3.0
239,3.0
240,0.0
241,0.0
242,2.0
243,2.0
244,0.0
245,3.0
246,1.0
247,3.0
248,1.0
249,0.0
250,3.0
251,2.0
252,0.0
253,3.0
254,1.0
255,2.0
256,0.0
257,3.0
258,1.0
259,0.0
260,3.0
261,1.0
262,0.0
263,0.0
264,2.0
265,3.0
266,3.0
267,0.0
268,0.0
269,0.0
270,2.0
271,1.0
272,0.0
273,3.0
274,3.0
275,3.0
276,0.0
